Epoch: [4][510/960]	 Time 0.084 (0.061)	Data 0.072 (0.046)	Loss 1.0512 (10.1541)	
Epoch: [4][540/960]	 Time 0.068 (0.062)	Data 0.049 (0.046)	Loss 86.5339 (10.1312)	
Epoch: [4][570/960]	 Time 0.095 (0.062)	Data 0.076 (0.047)	Loss 2.2098 (10.2060)	
Epoch: [4][600/960]	 Time 0.108 (0.062)	Data 0.094 (0.047)	Loss 14.5854 (10.4817)	
Epoch: [4][630/960]	 Time 0.041 (0.063)	Data 0.028 (0.047)	Loss 4.8860 (10.2493)	
Epoch: [4][660/960]	 Time 0.020 (0.062)	Data 0.011 (0.047)	Loss 0.8768 (10.4108)	
Epoch: [4][690/960]	 Time 0.062 (0.062)	Data 0.052 (0.047)	Loss 1.2754 (10.2335)	
Epoch: [4][720/960]	 Time 0.046 (0.062)	Data 0.033 (0.047)	Loss 4.7646 (10.1713)	
Epoch: [4][750/960]	 Time 0.103 (0.062)	Data 0.077 (0.047)	Loss 0.8070 (10.3142)	
Epoch: [4][780/960]	 Time 0.064 (0.062)	Data 0.051 (0.047)	Loss 9.8094 (10.4052)	
Epoch: [4][810/960]	 Time 0.067 (0.062)	Data 0.056 (0.047)	Loss 1.0111 (10.4944)	
Epoch: [4][840/960]	 Time 0.086 (0.062)	Data 0.062 (0.047)	Loss 2.6385 (10.2813)	
Epoch: [4][870/960]	 Time 0.027 (0.062)	Data 0.017 (0.047)	Loss 2.9169 (10.2529)	
Epoch: [4][900/960]	 Time 0.061 (0.062)	Data 0.049 (0.047)	Loss 9.2600 (10.0738)	
Epoch: [4][930/960]	 Time 0.016 (0.062)	Data 0.011 (0.047)	Loss 3.4795 (10.1014)	
 * MAE 33.060 
 * best MAE 31.678 
Epoch: [5][0/960]	 Time 0.040 (0.040)	Data 0.022 (0.022)	Loss 1.7168 (1.7168)	
Epoch: [5][30/960]	 Time 0.028 (0.077)	Data 0.019 (0.054)	Loss 0.6975 (4.3246)	
Epoch: [5][60/960]	 Time 0.078 (0.075)	Data 0.042 (0.051)	Loss 18.4909 (9.8290)	
Epoch: [5][90/960]	 Time 0.045 (0.077)	Data 0.035 (0.054)	Loss 5.2356 (9.5887)	
Epoch: [5][120/960]	 Time 0.058 (0.076)	Data 0.043 (0.053)	Loss 8.3202 (9.1053)	
Epoch: [5][150/960]	 Time 0.044 (0.074)	Data 0.034 (0.051)	Loss 0.7204 (8.9361)	
Epoch: [5][180/960]	 Time 0.080 (0.074)	Data 0.065 (0.051)	Loss 3.9776 (9.6141)	
Epoch: [5][210/960]	 Time 0.069 (0.073)	Data 0.038 (0.051)	Loss 35.9417 (9.1065)	
Epoch: [5][240/960]	 Time 0.100 (0.073)	Data 0.069 (0.050)	Loss 9.4047 (8.7860)	
Epoch: [5][270/960]	 Time 0.061 (0.072)	Data 0.031 (0.050)	Loss 3.0934 (8.8255)	
Epoch: [5][300/960]	 Time 0.119 (0.071)	Data 0.098 (0.049)	Loss 15.9937 (8.5762)	
Epoch: [5][330/960]	 Time 0.055 (0.070)	Data 0.038 (0.048)	Loss 2.5199 (8.7642)	
Epoch: [5][360/960]	 Time 0.093 (0.069)	Data 0.070 (0.047)	Loss 1.4372 (8.9876)	
Epoch: [5][390/960]	 Time 0.094 (0.069)	Data 0.073 (0.047)	Loss 0.6079 (9.2097)	
Epoch: [5][420/960]	 Time 0.021 (0.067)	Data 0.014 (0.046)	Loss 23.7970 (8.9101)	
Epoch: [5][450/960]	 Time 0.069 (0.066)	Data 0.015 (0.045)	Loss 2.3324 (9.3427)	
Epoch: [5][480/960]	 Time 0.081 (0.066)	Data 0.059 (0.046)	Loss 4.9715 (9.4191)	
Epoch: [5][510/960]	 Time 0.029 (0.067)	Data 0.023 (0.046)	Loss 4.5984 (9.1732)	
Epoch: [5][540/960]	 Time 0.032 (0.066)	Data 0.027 (0.046)	Loss 1.7980 (9.2400)	
Epoch: [5][570/960]	 Time 0.057 (0.065)	Data 0.049 (0.045)	Loss 2.7939 (9.6002)	
Epoch: [5][600/960]	 Time 0.056 (0.065)	Data 0.035 (0.045)	Loss 0.7748 (9.5516)	
Epoch: [5][630/960]	 Time 0.078 (0.066)	Data 0.066 (0.046)	Loss 2.5968 (9.8543)	
Epoch: [5][660/960]	 Time 0.084 (0.066)	Data 0.075 (0.046)	Loss 2.9040 (9.7424)	
Epoch: [5][690/960]	 Time 0.079 (0.067)	Data 0.048 (0.047)	Loss 0.7476 (9.6065)	
